treatment,metric,max_deviation,max_deviation_day,resistance,peak_response,t_max_days,return_time_days,elasticity,settling_time_days,overshoot,overshoot_pct,auc_burden,steady_state_error,rise_time_days,final_value,initial_value
hbo_moisture_npwt,mean_collagen_wound,1.67861,0.0,0.595730991713382,1.67861,21.666666666666668,18.333333333333332,0.09156054545454545,20.0,0.0,0.0,34.763059074999994,,9.166666666666666,1.67861,0.0
hbo_moisture_npwt,mean_perfusion_wound,1.0,0.0,1.0,0.59449,8.333333333333334,3.3333333333333335,0.3,30.0,0.491299,49.1299,16.552425500000002,0.5087010000000001,1.6666666666666667,0.491299,0.0
hbo_moisture_npwt,scar_magnitude,2.19958,34.166666666666664,0.4546322479746133,2.19958,34.166666666666664,,,23.333333333333332,0.0,0.0,54.65990008333334,2.19958,,2.19958,0.0
hbo_moisture_npwt,n_neutrophils,10.0,3.3333333333333335,0.1,10.0,3.3333333333333335,4.166666666666666,2.4000000000000004,7.5,10.0,100.0,34.16666666666667,0.0,,0.0,0.0
hbo_moisture_npwt,mean_mmp_wound,0.876766,3.3333333333333335,1.1405551766377802,0.876766,3.3333333333333335,30.833333333333332,0.028435654054054058,34.166666666666664,0.776711,88.58817518015069,11.51170625,0.100055,,0.100055,0.0
hbo_moisture_npwt,mean_fibronectin_wound,0.37441,34.166666666666664,2.6708688336315802,0.482784,6.666666666666667,,,30.833333333333332,0.37441,77.55228010870286,7.78651625,,,0.108374,0.224775
hbo_msc,wound_closure_pct,100.0,0.0,0.01,100.0,20.833333333333332,20.833333333333332,4.800000000000001,20.833333333333332,100.0,100.0,1437.5000000000002,0.0,15.0,100.0,0.0
hbo_msc,mean_infl_wound,0.687978,1.6666666666666667,1.4535348514051323,0.687978,1.6666666666666667,32.5,0.021168553846153845,34.166666666666664,0.6870624989999999,99.86692873900037,7.5534774254166654,0.000915501,,0.000915501,0.0
hbo_msc,mean_collagen_wound,1.63319,0.0,0.612298630287964,1.63319,21.666666666666668,18.333333333333332,0.08908309090909092,19.166666666666668,0.0,0.0,33.969680333333336,,9.166666666666666,1.63319,0.0
hbo_msc,mean_perfusion_wound,1.0,0.0,1.0,0.594493,8.333333333333334,3.3333333333333335,0.3,30.0,0.498479,49.8479,16.458392166666673,0.501521,1.6666666666666667,0.498479,0.0
